Date,Close,Open
1999-10-21,36.75,37.6875
1999-10-22,37.28125,37.1875
1999-10-25,37.0,37.25
1999-10-26,36.0,37.28125
1999-10-27,36.0,36.078125
1999-10-28,39.15625,36.4375
1999-10-29,40.15625,39.5625
1999-11-01,39.28125,40.0
1999-11-02,40.28125,39.75
1999-11-03,40.65625,40.46875
1999-11-04,40.6875,41.28125
1999-11-05,42.75,41.125
1999-11-08,43.25,42.25
1999-11-09,42.625,42.96875
1999-11-10,42.59375,42.59375
1999-11-11,44.75,42.59375
1999-11-12,44.4375,45.0
1999-11-15,43.625,44.34375
1999-11-16,43.53125,43.875
1999-11-17,43.03125,43.40625
1999-11-18,43.0,43.03125
1999-11-19,42.6875,42.8125
1999-11-22,41.40625,42.71875
1999-11-23,42.84375,41.6875
1999-11-24,43.5625,42.75
1999-11-26,44.25,43.5625
1999-11-29,46.15625,44.28125
1999-11-30,45.84375,46.0625
1999-12-01,47.71875,45.71875
1999-12-02,47.8125,47.1875
1999-12-03,49.34375,48.125
1999-12-06,49.0,49.03125
1999-12-07,47.75,48.8125
1999-12-08,46.09375,47.53125
1999-12-09,45.96875,47.25
1999-12-10,45.875,46.125
1999-12-13,46.96875,46.0
1999-12-14,45.71875,47.0625
1999-12-15,45.65625,45.625
1999-12-16,45.0,45.375
1999-12-17,45.28125,45.59375
1999-12-20,44.15625,45.28125
1999-12-21,43.5625,44.1875
1999-12-22,43.75,43.53125
1999-12-23,44.5625,43.9375
1999-12-27,44.75,44.53125
1999-12-28,45.625,44.96875
1999-12-29,45.4375,45.5625
1999-12-30,45.65625,45.71875
1999-12-31,45.625,45.75
2000-01-03,44.5,45.53125
2000-01-04,42.0625,44.46875
2000-01-05,42.78125,42.21875
2000-01-06,43.640625,43.3125
2000-01-07,46.53125,43.4375
2000-01-10,47.5,46.53125
2000-01-11,45.8125,47.125
2000-01-12,45.75,46.5625
2000-01-13,47.46875,46.28125
2000-01-14,49.0625,48.125
2000-01-18,51.25,48.75
2000-01-19,51.875,51.9375
2000-01-20,50.0,52.375
2000-01-21,48.5,51.4375
2000-01-24,47.0,48.1875
2000-01-25,49.6875,47.5625
2000-01-26,50.4375,49.125
2000-01-27,48.9375,50.5625
2000-01-28,46.0,48.625
2000-01-31,48.9375,46.0625
2000-02-01,51.875,49.3125
2000-02-02,53.9375,52.0
2000-02-03,54.1875,54.0
2000-02-04,53.0,54.75
2000-02-07,51.25,52.0
2000-02-08,53.0625,51.9375
2000-02-09,52.875,52.0
2000-02-10,52.125,52.8125
2000-02-11,51.6875,52.125
2000-02-14,50.75,51.5625
2000-02-15,49.375,50.0625
2000-02-16,47.75,49.1875
2000-02-17,44.0,48.0
2000-02-18,44.9375,43.75
2000-02-22,44.0,44.8125
2000-02-23,44.5625,44.375
2000-02-24,44.375,44.703125
2000-02-25,47.5625,44.25
2000-02-28,48.9375,47.25
2000-02-29,49.625,48.875
2000-03-01,46.5,49.4375
2000-03-02,49.625,47.5625
2000-03-03,49.9375,50.1875
2000-03-06,50.125,49.875
2000-03-07,45.375,50.03125
2000-03-08,45.625,46.3125
2000-03-09,44.5625,45.5
2000-03-10,44.125,44.6875
2000-03-13,43.0,44.0
2000-03-14,43.3125,43.5
2000-03-15,49.8125,43.1875
2000-03-16,55.953125,48.875
2000-03-17,53.9375,54.75
2000-03-20,52.3125,53.75
2000-03-21,52.1875,52.125
2000-03-22,52.875,52.3125
2000-03-23,53.625,52.75
2000-03-24,53.875,53.8125
2000-03-27,53.4375,53.25
2000-03-28,51.125,53.25
2000-03-29,50.5,51.1875
2000-03-30,50.25,50.28125
2000-03-31,52.5625,51.3125
2000-04-03,52.5,51.5
2000-04-04,54.0625,53.9375
2000-04-05,53.5,53.9375
2000-04-06,51.875,54.5
2000-04-07,52.8125,51.25
2000-04-10,54.25,52.25
2000-04-11,57.4375,53.5
2000-04-12,55.0625,57.0625
2000-04-13,54.625,56.25
2000-04-14,50.875,54.125
2000-04-17,49.125,49.5
2000-04-18,50.9375,49.25
2000-04-19,52.25,51.125
2000-04-20,54.8125,52.125
2000-04-24,56.0,53.25
2000-04-25,57.0,56.625
2000-04-26,54.9375,56.59375
2000-04-27,56.0625,53.0
2000-04-28,54.0625,55.75
2000-05-01,58.4375,54.0625
2000-05-02,54.75,56.75
2000-05-03,52.1875,52.0625
2000-05-04,48.9375,51.5625
2000-05-05,48.8125,47.8125
2000-05-08,47.4375,48.625
2000-05-09,49.1875,48.0625
2000-05-10,48.9375,49.0
2000-05-11,49.8125,49.5
2000-05-12,47.8125,49.5
2000-05-15,48.9375,47.875
2000-05-16,51.3125,49.6875
2000-05-17,47.734375,50.3125
2000-05-18,46.75,47.75
2000-05-19,45.0,45.828125
2000-05-22,43.125,45.25
2000-05-23,40.625,42.9375
2000-05-24,31.875,28.5
2000-05-25,30.0,32.0
2000-05-26,30.875,30.625
2000-05-30,32.5,31.75
2000-05-31,31.9375,32.5
2000-06-01,32.375,32.6875
2000-06-02,34.25,32.9375
2000-06-05,33.25,34.25
2000-06-06,31.75,33.0
2000-06-07,32.75,32.0625
2000-06-08,32.0625,32.8125
2000-06-09,32.3125,32.375
2000-06-12,31.4375,32.25
2000-06-13,32.125,31.4375
2000-06-14,32.5625,32.5
2000-06-15,33.1875,32.875
2000-06-16,32.5,33.375
2000-06-19,32.0,32.25
2000-06-20,31.625,32.5625
2000-06-21,32.375,31.625
2000-06-22,32.0,32.4375
2000-06-23,32.0,32.0
2000-06-26,31.875,32.1875
2000-06-27,33.0,31.875
2000-06-28,32.3125,33.0
2000-06-29,32.0625,32.1875
2000-06-30,33.0,32.125
2000-07-03,34.1875,33.0
2000-07-05,33.25,34.375
2000-07-06,32.875,33.1875
2000-07-07,34.5625,32.875
2000-07-10,37.0625,34.6875
2000-07-11,35.5625,37.0
2000-07-12,36.5625,35.75
2000-07-13,36.5,36.125
2000-07-14,36.0,37.0625
2000-07-17,35.5,36.0
2000-07-18,33.875,35.5
2000-07-19,32.9375,34.03125
2000-07-20,32.9375,33.0625
2000-07-21,32.25,32.75
2000-07-24,31.6875,32.3125
2000-07-25,31.6875,31.875
2000-07-26,31.3125,31.8125
2000-07-27,31.9375,31.4375
2000-07-28,32.25,32.3125
2000-07-31,32.5625,32.1875
2000-08-01,32.5,32.25
2000-08-02,33.5625,32.5
2000-08-03,34.5625,33.3125
2000-08-04,35.5,34.5625
2000-08-07,36.6875,35.25
2000-08-08,37.5625,36.4375
2000-08-09,36.1875,37.3125
2000-08-10,34.375,36.25
2000-08-11,34.9375,34.8125
2000-08-14,35.75,35.0
2000-08-15,34.75,35.875
2000-08-16,33.0625,33.25
2000-08-17,33.0,33.0
2000-08-18,33.4375,32.9375
2000-08-21,32.75,33.5625
2000-08-22,32.9375,32.875
2000-08-23,32.25,32.6875
2000-08-24,32.375,32.5625
2000-08-25,32.9375,32.5
2000-08-28,33.0625,33.0
2000-08-29,34.75,32.9375
2000-08-30,35.625,34.5625
